episode,game,exploration,explored,safe,MA_explored,MA_safe
729,[29]_forecast_horizon=[23],1.0,-13.9,-13.9,51.8,53.3
730,[30]_forecast_horizon=[28],1.0,9.3,9.3,51.8,53.3
731,[31]_forecast_horizon=[14],1.0,63.6,61.7,51.8,53.3
732,[32]_forecast_horizon=[15],1.0,85.7,85.7,51.8,53.3
733,[33]_forecast_horizon=[10],1.0,55.9,53.0,52.0,53.0
734,[34]_forecast_horizon=[18],1.0,62.6,62.6,52.0,53.0
735,[35]_forecast_horizon=[22],1.0,77.1,82.5,52.0,53.0
736,[36]_forecast_horizon=[14],1.0,28.9,32.6,52.0,53.0
737,[37]_forecast_horizon=[19],1.0,68.0,68.0,52.0,53.0
738,[38]_forecast_horizon=[27],1.0,69.7,69.7,52.5,53.0
739,[39]_forecast_horizon=[24],1.0,62.0,81.4,52.5,53.0
740,[40]_forecast_horizon=[15],1.0,52.2,59.3,52.6,53.8
741,[41]_forecast_horizon=[19],1.0,49.4,53.6,52.1,54.1
742,[42]_forecast_horizon=[11],1.0,64.8,64.8,52.1,54.1
743,[43]_forecast_horizon=[15],1.0,57.2,71.5,52.1,54.1
744,[44]_forecast_horizon=[19],1.0,75.2,75.2,52.1,54.1
745,[45]_forecast_horizon=[27],1.0,38.6,49.0,52.1,54.1
746,[46]_forecast_horizon=[17],1.0,47.0,47.0,52.0,53.3
747,[47]_forecast_horizon=[28],1.0,-30.1,0.0,52.0,53.3
748,[48]_forecast_horizon=[14],1.0,88.4,90.3,52.0,53.3
749,[49]_forecast_horizon=[17],1.0,55.7,55.7,52.0,53.3
750,[50]_forecast_horizon=[16],1.0,53.6,48.0,52.1,53.3
751,[51]_forecast_horizon=[28],1.0,66.3,66.3,52.1,53.3
752,[52]_forecast_horizon=[20],1.0,47.1,28.8,52.1,53.3
753,[53]_forecast_horizon=[26],1.0,93.2,93.2,52.1,53.3
754,[54]_forecast_horizon=[22],1.0,75.1,75.1,52.1,53.3
755,[55]_forecast_horizon=[20],1.0,77.1,77.1,52.1,53.3
756,[56]_forecast_horizon=[15],1.0,71.0,81.3,52.1,53.3
757,[57]_forecast_horizon=[22],1.0,15.7,15.7,52.1,53.3
758,[58]_forecast_horizon=[28],1.0,37.7,37.7,52.1,53.3
759,[59]_forecast_horizon=[21],1.0,47.7,47.7,52.1,53.3
760,[60]_forecast_horizon=[10],1.0,-37.4,-37.4,52.1,53.3
761,[61]_forecast_horizon=[11],1.0,67.0,67.0,52.1,54.1
762,[62]_forecast_horizon=[18],1.0,-15.1,0.0,52.1,54.1
763,[63]_forecast_horizon=[24],1.0,54.8,42.7,52.9,53.3
764,[64]_forecast_horizon=[26],1.0,-52.0,-52.0,52.9,53.3
765,[65]_forecast_horizon=[13],1.0,51.9,51.9,52.9,53.3
766,[66]_forecast_horizon=[27],1.0,56.4,64.2,53.6,53.3
767,[67]_forecast_horizon=[12],1.0,37.5,37.5,53.6,53.3
768,[68]_forecast_horizon=[13],1.0,60.3,47.8,53.9,53.3
769,[69]_forecast_horizon=[12],1.0,54.0,54.0,53.8,53.3
770,[70]_forecast_horizon=[29],1.0,11.6,11.6,53.8,53.3
771,[71]_forecast_horizon=[17],1.0,61.9,65.3,53.8,53.3
772,[72]_forecast_horizon=[27],1.0,78.8,84.1,53.8,53.3
773,[73]_forecast_horizon=[12],1.0,65.3,65.3,53.8,53.3
774,[74]_forecast_horizon=[23],1.0,-14.3,-14.3,53.8,53.3
775,[75]_forecast_horizon=[26],1.0,68.1,68.1,53.8,53.3
776,[76]_forecast_horizon=[29],1.0,-15.1,0.0,53.8,53.3
777,[77]_forecast_horizon=[18],1.0,2.1,2.1,53.8,53.3
778,[78]_forecast_horizon=[21],1.0,50.2,47.1,53.6,52.9
779,[79]_forecast_horizon=[10],1.0,58.9,37.7,53.8,52.9
780,[80]_forecast_horizon=[11],1.0,36.8,55.4,53.6,52.9
781,[81]_forecast_horizon=[14],1.0,54.5,54.5,53.8,53.3
782,[82]_forecast_horizon=[26],1.0,27.5,47.2,53.8,53.3
783,[83]_forecast_horizon=[18],1.0,18.2,22.3,53.8,53.3
784,[84]_forecast_horizon=[29],1.0,57.2,47.2,54.1,53.3
785,[85]_forecast_horizon=[11],1.0,59.2,59.2,54.4,53.3
786,[86]_forecast_horizon=[25],1.0,34.3,43.0,54.4,53.3
787,[87]_forecast_horizon=[23],1.0,49.2,37.2,54.4,53.3
788,[88]_forecast_horizon=[19],1.0,43.3,43.3,54.1,53.3
789,[89]_forecast_horizon=[25],1.0,62.5,57.7,54.1,53.3
790,[90]_forecast_horizon=[25],1.0,52.7,53.7,53.8,53.7
791,[91]_forecast_horizon=[14],1.0,42.8,42.8,53.8,53.7
792,[92]_forecast_horizon=[20],1.0,58.1,62.3,53.8,53.7
793,[93]_forecast_horizon=[15],1.0,86.7,86.7,53.8,53.7
794,[94]_forecast_horizon=[13],1.0,40.8,59.0,53.8,53.9
795,[95]_forecast_horizon=[27],1.0,65.8,65.8,53.8,53.9
796,[96]_forecast_horizon=[29],1.0,61.7,64.3,54.1,53.9
797,[97]_forecast_horizon=[15],1.0,32.1,32.1,54.1,53.9
798,[98]_forecast_horizon=[13],1.0,52.4,58.1,53.8,53.9
799,[99]_forecast_horizon=[27],1.0,79.7,79.7,53.8,53.9
800,[0]_forecast_horizon=[10],1.0,31.2,36.9,53.8,53.7
801,[1]_forecast_horizon=[23],1.0,23.0,23.0,53.8,53.7
802,[2]_forecast_horizon=[23],1.0,68.6,68.6,53.8,53.9
803,[3]_forecast_horizon=[29],1.0,21.6,32.6,53.8,53.9
804,[4]_forecast_horizon=[25],1.0,-6.1,9.0,53.8,53.9
805,[5]_forecast_horizon=[26],1.0,22.1,22.1,53.8,53.9
806,[6]_forecast_horizon=[29],1.0,81.2,90.6,53.8,53.9
807,[7]_forecast_horizon=[10],1.0,23.6,20.0,53.2,53.7
808,[8]_forecast_horizon=[23],1.0,41.4,49.8,52.6,53.3
809,[9]_forecast_horizon=[15],1.0,32.1,32.1,52.6,53.3
810,[10]_forecast_horizon=[18],1.0,55.8,55.8,53.2,53.3
811,[11]_forecast_horizon=[13],1.0,85.3,85.3,53.2,53.3
812,[12]_forecast_horizon=[10],1.0,50.0,43.6,52.6,53.3
813,[13]_forecast_horizon=[22],1.0,77.2,79.4,52.6,53.3
814,[14]_forecast_horizon=[12],1.0,47.3,47.3,52.6,53.3
815,[15]_forecast_horizon=[27],1.0,45.8,45.8,52.6,53.3
816,[16]_forecast_horizon=[14],1.0,54.7,69.6,52.6,53.3
817,[17]_forecast_horizon=[18],1.0,62.2,54.0,53.2,53.3
818,[18]_forecast_horizon=[17],1.0,30.1,30.1,53.2,53.3
819,[19]_forecast_horizon=[18],1.0,41.6,41.6,53.2,53.3
820,[20]_forecast_horizon=[25],1.0,60.6,60.6,53.2,53.3
821,[21]_forecast_horizon=[18],1.0,46.7,46.7,53.2,53.3
822,[22]_forecast_horizon=[11],1.0,0.0,22.4,53.2,53.3
823,[23]_forecast_horizon=[15],1.0,70.7,70.7,53.2,53.3
824,[24]_forecast_horizon=[18],1.0,52.3,60.4,52.6,53.3
825,[25]_forecast_horizon=[12],1.0,38.5,38.5,52.6,53.3
826,[26]_forecast_horizon=[12],1.0,42.2,31.5,52.6,53.3
827,[27]_forecast_horizon=[25],1.0,77.0,77.0,52.6,53.3
828,[28]_forecast_horizon=[28],1.0,79.6,79.6,52.6,53.3
829,[29]_forecast_horizon=[23],1.0,-13.9,-13.9,52.6,53.3
830,[30]_forecast_horizon=[28],1.0,-25.7,-5.6,52.6,53.3
831,[31]_forecast_horizon=[14],1.0,59.8,63.6,52.6,53.3
832,[32]_forecast_horizon=[15],1.0,85.7,85.7,52.6,53.3
833,[33]_forecast_horizon=[10],1.0,61.2,61.2,52.6,53.7
834,[34]_forecast_horizon=[18],1.0,62.6,67.5,52.6,53.7
