episode,game,exploration,explored,safe,MA_explored,MA_safe
345,[45]_forecast_horizon=[27],3.1,1.3,49.0,49.2,62.5
346,[46]_forecast_horizon=[17],3.1,52.6,67.6,49.2,62.5
347,[47]_forecast_horizon=[28],3.0,-30.1,-30.1,49.2,62.5
348,[48]_forecast_horizon=[14],3.0,85.9,90.3,49.2,62.5
349,[49]_forecast_horizon=[17],3.0,76.5,73.5,49.2,62.5
350,[50]_forecast_horizon=[16],2.9,53.3,58.6,49.5,62.5
351,[51]_forecast_horizon=[28],2.9,76.7,82.8,49.5,62.5
352,[52]_forecast_horizon=[20],2.9,22.5,53.5,49.5,62.5
353,[53]_forecast_horizon=[26],2.9,72.7,93.2,49.5,62.5
354,[54]_forecast_horizon=[22],2.8,77.8,83.5,49.5,62.5
355,[55]_forecast_horizon=[20],2.8,55.9,46.7,50.0,62.5
356,[56]_forecast_horizon=[15],2.8,70.1,86.9,50.0,62.5
357,[57]_forecast_horizon=[22],2.7,-25.7,15.7,50.0,62.5
358,[58]_forecast_horizon=[28],2.7,16.2,35.0,50.0,62.5
359,[59]_forecast_horizon=[21],2.7,29.4,33.0,50.0,62.5
360,[60]_forecast_horizon=[10],2.7,-0.1,-0.1,50.0,62.5
361,[61]_forecast_horizon=[11],2.6,55.6,62.3,50.6,62.5
362,[62]_forecast_horizon=[18],2.6,-27.0,0.0,50.6,62.5
