episode,game,exploration,explored,safe,MA_explored,MA_safe
237,[37]_forecast_horizon=[19],9.1,36.9,68.0,-5.8,30.8
238,[38]_forecast_horizon=[27],9.1,-91.0,-6.6,-5.8,30.8
239,[39]_forecast_horizon=[24],9.0,-11.4,51.4,-5.8,32.4
240,[40]_forecast_horizon=[15],8.9,13.8,32.6,-4.3,32.6
241,[41]_forecast_horizon=[19],8.8,14.7,48.9,-4.3,32.9
242,[42]_forecast_horizon=[11],8.7,40.9,71.3,-3.5,33.9
243,[43]_forecast_horizon=[15],8.6,0.8,54.5,-1.9,35.1
244,[44]_forecast_horizon=[19],8.5,73.7,81.0,-1.9,35.7
245,[45]_forecast_horizon=[27],8.4,-11.2,0.0,-1.9,35.7
246,[46]_forecast_horizon=[17],8.4,14.7,54.5,-0.2,36.0
247,[47]_forecast_horizon=[28],8.3,-60.3,0.0,-0.2,36.0
248,[48]_forecast_horizon=[14],8.2,43.6,38.2,-0.2,36.3
249,[49]_forecast_horizon=[17],8.1,11.3,51.6,0.5,36.8
250,[50]_forecast_horizon=[16],8.0,16.0,66.6,0.9,37.3
251,[51]_forecast_horizon=[28],7.9,36.0,77.5,1.3,37.8
252,[52]_forecast_horizon=[20],7.9,-62.6,-6.4,1.3,37.8
253,[53]_forecast_horizon=[26],7.8,26.0,36.0,1.6,37.8
254,[54]_forecast_horizon=[22],7.7,70.4,85.5,2.4,38.4
255,[55]_forecast_horizon=[20],7.6,60.4,75.0,2.4,38.7
256,[56]_forecast_horizon=[15],7.6,57.9,76.2,2.4,39.7
257,[57]_forecast_horizon=[22],7.5,-38.3,3.1,2.4,39.7
258,[58]_forecast_horizon=[28],7.4,-4.7,1.5,2.4,39.7
